number_of_patches,max_patch,second_max,total_patch_area,data_set_name,region,subregion,threshold,year,regsub,mean_max_patch,prop_max_patch,prop_second_max,delta_max_patch,delta_prop_max_patch,delta_year_patch,delta_year_prop_patch
6470,696933.3417119608,48437.91665608582,756151.4254092802,oceania_OC_5_25_perc_threshold_in_MOD44B.MRTWEB.A2010065.051.Percent_Tree_Cover,OC,5,25,2010,OC5,683484.298894718,0.921684887831473,0.06405848753094388,13449.042817242793,0.017786176637785565,-8387.97333344468,-0.009289088251164923
5829,706474.1478917976,43548.06411784281,759051.1336023888,oceania_OC_5_25_perc_threshold_in_MOD44B.MRTWEB.A2011065.051.Percent_Tree_Cover,OC,5,25,2011,OC5,683484.298894718,0.9307332755554089,0.05737171343275333,22989.848997079534,0.030287615655050493,9540.806179836742,0.009048387723935902
5054,710520.5707888221,43287.60605247167,765450.4192912894,oceania_OC_5_25_perc_threshold_in_MOD44B.MRTWEB.A2012065.051.Percent_Tree_Cover,OC,5,25,2012,OC5,683484.298894718,0.9282385284296724,0.056551809185173,27036.27189410408,0.0353207356253541,4046.422897024546,-0.002494747125736496
5839,693736.1752585112,45539.373823448725,754527.2042521829,oceania_OC_5_25_perc_threshold_in_MOD44B.MRTWEB.A2013065.051.Percent_Tree_Cover,OC,5,25,2013,OC5,683484.298894718,0.9194316273143232,0.06035484680579955,10251.876363793155,0.013587152730899691,-16784.395530310925,-0.008806901115349208
8024,666691.6547973565,31706.2536871096,721761.6378965167,oceania_OC_5_25_perc_threshold_in_MOD44B.MRTWEB.A2014065.051.Percent_Tree_Cover,OC,5,25,2014,OC5,683484.298894718,0.9237005955876862,0.043928981567257414,-16792.644097361597,-0.023266190963406756,-27044.520461154752,0.004268968273363094
6296,609063.705463344,72605.45345332561,741942.4765208955,oceania_OC_5_25_perc_threshold_in_MOD44B.MRTWEB.A2015065.051.Percent_Tree_Cover,OC,5,25,2015,OC5,683484.298894718,0.8209042139214829,0.09785860191451218,-74420.59343137406,-0.10030507187072761,-57627.94933401246,-0.10279638166620331
5861,701884.6670150732,22486.504317159804,746462.3271094504,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2000065.051.Percent_Tree_Cover,OC,5,27.5,2000,OC5,666873.7241622302,0.9402814335359742,0.03012409802948128,35010.94285284309,0.04690249136673389,NA,NA
6618,655573.2418792826,14869.70827570215,705079.7940876966,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2001065.051.Percent_Tree_Cover,OC,5,27.5,2001,OC5,666873.7241622302,0.9297858871810807,0.021089397824741354,-11300.482282947516,-0.016027238870983705,-46311.4251357906,-0.01049554635489347
6449,620472.2931382532,72859.50203603806,737744.2654217989,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2002065.051.Percent_Tree_Cover,OC,5,27.5,2002,OC5,666873.7241622302,0.8410398050108915,0.0987598351501672,-46401.431023977,-0.06289636287101111,-35100.94874102948,-0.0887460821701892
6280,695594.0511901353,32145.88592496761,745734.8508351407,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2003065.051.Percent_Tree_Cover,OC,5,27.5,2003,OC5,666873.7241622302,0.9327632340249981,0.0431063210857958,28720.32702790515,0.038512786408924776,75121.75805188215,0.09172342901410657
5271,631670.533249181,73855.01121884768,751224.8640161852,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2004065.051.Percent_Tree_Cover,OC,5,27.5,2004,OC5,666873.7241622302,0.840854135035088,0.09831278856240902,-35203.190913049155,-0.046861056654656605,-63923.517940954305,-0.09190909898991007
5431,710116.4820453423,30359.679662338443,756941.2484688107,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2005065.051.Percent_Tree_Cover,OC,5,27.5,2005,OC5,666873.7241622302,0.9381394969316462,0.04010837000064662,43242.75788311218,0.05712828831905568,78445.94879616133,0.09728536189655823
6131,618795.9221006172,75527.0121552738,739316.9193786967,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2006065.051.Percent_Tree_Cover,OC,5,27.5,2006,OC5,666873.7241622302,0.8369833097024719,0.1021578299854747,-48077.80206161295,-0.06503003083172548,-91320.55994472513,-0.1011561872291743
6050,689207.8758065385,36138.70224030485,743637.4933266318,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2007065.051.Percent_Tree_Cover,OC,5,27.5,2007,OC5,666873.7241622302,0.9268062490009686,0.04859720302514582,22334.151644308353,0.0300336546297544,70411.9537059213,0.08982293929849672
7144,642833.2298651712,37484.98492495815,694703.7157899402,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2008065.051.Percent_Tree_Cover,OC,5,27.5,2008,OC5,666873.7241622302,0.925334376733846,0.05395823294587445,-24040.494297058904,-0.034605391839199695,-46374.64594136726,-0.0014718722671226425
5114,697228.7605914745,33085.45780508162,747930.9726436055,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2009065.051.Percent_Tree_Cover,OC,5,27.5,2009,OC5,666873.7241622302,0.9322100382166002,0.04423597767069218,30355.036429244326,0.040585344823938344,54395.53072630323,0.006875661482754203
6908,684480.2997139471,44622.23513241038,741787.4835781915,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2010065.051.Percent_Tree_Cover,OC,5,27.5,2010,OC5,666873.7241622302,0.9227444717888615,0.060155012210726756,17606.57555171696,0.023735336523592148,-12748.460877527366,-0.009465566427738659
5862,696031.6440471692,40321.76365260788,746584.1072787179,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2011065.051.Percent_Tree_Cover,OC,5,27.5,2011,OC5,666873.7241622302,0.9322883212504868,0.05400833376909105,29157.919884939096,0.039055103906804355,11551.344333222136,0.009543849461625231
5203,699813.2387770545,38887.204912241556,753042.5350115449,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2012065.051.Percent_Tree_Cover,OC,5,27.5,2012,OC5,666873.7241622302,0.9293143564145757,0.0516401173960849,32939.51461482432,0.043741904452076305,3781.594729885226,-0.002973964835911058
6088,681876.8844207062,41537.81730457555,739071.6109994545,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2013065.051.Percent_Tree_Cover,OC,5,27.5,2013,OC5,666873.7241622302,0.9226127404604226,0.05620269631031222,15003.16025847604,0.020300008869488444,-17936.35435634828,-0.006701615954153084
8451,647026.4881815996,27910.383291448972,701897.4859802581,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2014065.051.Percent_Tree_Cover,OC,5,27.5,2014,OC5,666873.7241622302,0.9218247694361997,0.03976418757572526,-19847.235980630503,-0.028276545189376466,-34850.39623910654,-7.879710242228999e-4
6305,597373.9745741363,71365.21857157508,725819.714398257,oceania_OC_5_27.5_perc_threshold_in_MOD44B.MRTWEB.A2015065.051.Percent_Tree_Cover,OC,5,27.5,2015,OC5,666873.7241622302,0.8230335477583315,0.09832361556993617,-69499.74958809384,-0.095753460824239,-49652.513607463334,-0.09879122167786825
5908,688052.7122392057,19237.770662849285,729727.7507392955,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2000065.051.Percent_Tree_Cover,OC,5,30,2000,OC5,631344.1230645945,0.942889607174911,0.02636294240332683,56708.58917461126,0.07771198110138904,NA,NA
6828,636299.3450418181,8758.849303487717,684661.8046073769,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2001065.051.Percent_Tree_Cover,OC,5,30,2001,OC5,631344.1230645945,0.9293629946345663,0.012792957405460244,4955.221977223642,0.007237473952654978,-51753.36719738762,-0.013526612540344707
6451,607062.1988530658,71291.80086180891,719435.2870547189,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2002065.051.Percent_Tree_Cover,OC,5,30,2002,OC5,631344.1230645945,0.8438037579978945,0.0990941119300235,-24281.924211528618,-0.03375136672950236,-29237.14618875226,-0.08555923663667175
6277,681530.1896804469,24121.213718499228,728174.033890721,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2003065.051.Percent_Tree_Cover,OC,5,30,2003,OC5,631344.1230645945,0.9359440984718302,0.03312561639916861,50186.06661585241,0.06892042874380215,74467.99082738103,0.09214034047393571
5641,617909.9568021902,72087.45072376184,733755.2365286574,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2004065.051.Percent_Tree_Cover,OC,5,30,2004,OC5,631344.1230645945,0.84211999593417175,0.09824454686661226,-13434.166262404295,-0.018308784174352687,-63620.232878256706,-0.0938241025376585
6273,614917.6024516007,74485.76257402498,733304.2420262026,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2005065.051.Percent_Tree_Cover,OC,5,30,2005,OC5,631344.1230645945,0.838557268879986,0.10157552391652937,-16426.520612993743,-0.022400689470451457,-2992.3543505894486,-0.0035627270541856992
6226,599190.4802090225,73670.0102440035,714842.8927774632,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2006065.051.Percent_Tree_Cover,OC,5,30,2006,OC5,631344.1230645945,0.8382128244724057,0.10305762425330234,-32153.642855571932,-0.044980013343409765,-15727.122242578189,-3.4444440758030215e-4
6696,599878.916907537,73086.16464780242,724949.1901260756,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2007065.051.Percent_Tree_Cover,OC,5,30,2007,OC5,631344.1230645945,0.8274771874746316,0.10081556837809838,-31465.20615705743,-0.04340332617184568,688.4366985145025,-0.010735636997774134
7416,622560.9104437841,21111.670300955724,674026.4336047209,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2008065.051.Percent_Tree_Cover,OC,5,30,2008,OC5,631344.1230645945,0.9236446516115147,0.03132172456212088,-8783.212620810373,-0.013030961669911658,22681.993536247057,0.09616746413688304
5120,685354.9027477764,25422.630025001337,733612.7712110216,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2009065.051.Percent_Tree_Cover,OC,5,30,2009,OC5,631344.1230645945,0.9342188817356835,0.03465401779065892,54010.7796831819,0.07362300903516558,62793.99230399227,0.010574230124168804
7524,665982.2416103567,39688.09889625191,720279.2993768216,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2010065.051.Percent_Tree_Cover,OC,5,30,2010,OC5,631344.1230645945,0.9246166621566909,0.055100985035373994,34638.11854576226,0.048089843170185255,-19372.661137419636,-0.009602219578992544
6132,680815.5323713257,36770.91029607155,730093.9652674515,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2011065.051.Percent_Tree_Cover,OC,5,30,2011,OC5,631344.1230645945,0.9325039854588115,0.050364627082763874,49471.40930673119,0.06776033176580029,14833.290760968928,0.007887323302120608
5397,613842.5574166806,71543.81006382623,735262.6302984912,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2012065.051.Percent_Tree_Cover,OC,5,30,2012,OC5,631344.1230645945,0.8348616291942945,0.09730374850518639,-17501.56564791384,-0.023803148598493046,-66972.97495464503,-0.097642356264517
6616,659187.6073815124,29366.792540655162,712116.8232946022,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2013065.051.Percent_Tree_Cover,OC,5,30,2013,OC5,631344.1230645945,0.9256734089384193,0.041238728787209314,27843.48431691795,0.03909960192781335,45345.04996483179,0.0908117797441248
8872,550958.5410162669,70565.19860791818,670627.9511298276,oceania_OC_5_30_perc_threshold_in_MOD44B.MRTWEB.A2014065.051.Percent_Tree_Cover,OC,5,30,2014,OC5,631344.1230645945,0.8215561848981242,0.10522257309590931,-80385.58204832755,-0.1198661372716414,-108229.0663652455,-0.10411722404029511
